L1,L2,L3,L4,R1,R2,R3,R4,R5
KISS1,,,,HTR2C,,,,
PROK2,,,,HTR2C,,,,
GHRL,,,,HTR2C,,,,
NMU,,,,NMBR,,,,
PROK1,,,,NMBR,,,,
KISS1,,,,NMBR,,,,
PROK2,,,,NMBR,,,,
GHRL,,,,NMBR,,,,
EFNB3,,,,EPHA2,,,,
EFNB3,,,,EPHA3,,,,
EFNB2,,,,EPHA8,,,,
EFNB1,,,,EPHA8,,,,
EFNB3,,,,EPHA8,,,,
EFNA3,,,,EPHB2,,,,
EFNA4,,,,EPHB2,,,,
NMU,,,,TACR3,,,,
PROK1,,,,TACR3,,,,
KISS1,,,,TACR3,,,,
PROK2,,,,TACR3,,,,
GHRL,,,,TACR3,,,,
CXCL5,,,,BDKRB2,,,,
CXCL12,,,,BDKRB2,,,,
NMU,,,,BDKRB2,,,,
PROK1,,,,BDKRB2,,,,
CCL20,,,,BDKRB2,,,,
KISS1,,,,BDKRB2,,,,
CCL19,,,,BDKRB2,,,,
CXCL16,,,,BDKRB2,,,,
PROK2,,,,BDKRB2,,,,
CCL28,,,,BDKRB2,,,,
HEBP1,,,,BDKRB2,,,,
GHRL,,,,BDKRB2,,,,
APLN,,,,BDKRB2,,,,
ADM,,,,AVPR2,,,,
WNT5A,,,,AVPR2,,,,
NMU,,,,GRPR,,,,
PROK1,,,,GRPR,,,,
KISS1,,,,GRPR,,,,
PROK2,,,,GRPR,,,,
GHRL,,,,GRPR,,,,
NTS,,,,AGTR1,,,,
XCL1,,,,AGTR1,,,,
NMU,,,,AGTR1,,,,
PROK1,,,,AGTR1,,,,
QRFP,,,,AGTR1,,,,
KISS1,,,,AGTR1,,,,
NMS,,,,AGTR1,,,,
UTS2B,,,,AGTR1,,,,
PROK2,,,,AGTR1,,,,
XCL2,,,,AGTR1,,,,
GHRL,,,,AGTR1,,,,
TAC3,,,,AGTR1,,,,
NTS,,,,OXTR,,,,
XCL1,,,,OXTR,,,,
NMU,,,,OXTR,,,,
PROK1,,,,OXTR,,,,
QRFP,,,,OXTR,,,,
KISS1,,,,OXTR,,,,
NMS,,,,OXTR,,,,
UTS2B,,,,OXTR,,,,
PROK2,,,,OXTR,,,,
XCL2,,,,OXTR,,,,
GHRL,,,,OXTR,,,,
TAC3,,,,OXTR,,,,
CXCL5,,,,SSTR1,,,,
CXCL12,,,,SSTR1,,,,
NMU,,,,SSTR1,,,,
CCL20,,,,SSTR1,,,,
CCL19,,,,SSTR1,,,,
CXCL16,,,,SSTR1,,,,
CCL28,,,,SSTR1,,,,
HEBP1,,,,SSTR1,,,,
APLN,,,,SSTR1,,,,
CXCL5,,,,SSTR2,,,,
CXCL12,,,,SSTR2,,,,
NMU,,,,SSTR2,,,,
CCL20,,,,SSTR2,,,,
CCL19,,,,SSTR2,,,,
CXCL16,,,,SSTR2,,,,
CCL28,,,,SSTR2,,,,
HEBP1,,,,SSTR2,,,,
APLN,,,,SSTR2,,,,
CXCL5,,,,HTR1F,,,,
CXCL12,,,,HTR1F,,,,
NMU,,,,HTR1F,,,,
CCL20,,,,HTR1F,,,,
CCL19,,,,HTR1F,,,,
CXCL16,,,,HTR1F,,,,
CCL28,,,,HTR1F,,,,
HEBP1,,,,HTR1F,,,,
APLN,,,,HTR1F,,,,
NTS,,,,GNRHR,,,,
XCL1,,,,GNRHR,,,,
NMU,,,,GNRHR,,,,
PROK1,,,,GNRHR,,,,
QRFP,,,,GNRHR,,,,
KISS1,,,,GNRHR,,,,
NMS,,,,GNRHR,,,,
UTS2B,,,,GNRHR,,,,
PROK2,,,,GNRHR,,,,
XCL2,,,,GNRHR,,,,
GHRL,,,,GNRHR,,,,
TAC3,,,,GNRHR,,,,
INSL3,,,,CALCR,,,,
RLN3,,,,CALCR,,,,
PTH2,,,,CALCR,,,,
XCL1,,,,NTSR1,,,,
NMU,,,,NTSR1,,,,
PROK1,,,,NTSR1,,,,
QRFP,,,,NTSR1,,,,
KISS1,,,,NTSR1,,,,
NMS,,,,NTSR1,,,,
UTS2B,,,,NTSR1,,,,
PROK2,,,,NTSR1,,,,
XCL2,,,,NTSR1,,,,
GHRL,,,,NTSR1,,,,
TAC3,,,,NTSR1,,,,
CXCL5,,,,SSTR4,,,,
CXCL12,,,,SSTR4,,,,
NMU,,,,SSTR4,,,,
CCL20,,,,SSTR4,,,,
CCL19,,,,SSTR4,,,,
CXCL16,,,,SSTR4,,,,
CCL28,,,,SSTR4,,,,
HEBP1,,,,SSTR4,,,,
APLN,,,,SSTR4,,,,
NMU,,,,CCKAR,,,,
PROK1,,,,CCKAR,,,,
KISS1,,,,CCKAR,,,,
PROK2,,,,CCKAR,,,,
GHRL,,,,CCKAR,,,,
XCL1,,,,CCKBR,,,,
NMU,,,,CCKBR,,,,
PROK1,,,,CCKBR,,,,
QRFP,,,,CCKBR,,,,
KISS1,,,,CCKBR,,,,
NMS,,,,CCKBR,,,,
UTS2B,,,,CCKBR,,,,
PROK2,,,,CCKBR,,,,
XCL2,,,,CCKBR,,,,
GHRL,,,,CCKBR,,,,
TAC3,,,,CCKBR,,,,
ADM,,,,MC4R,,,,
INSL3,,,,MC4R,,,,
ADM2,,,,MC4R,,,,
RLN3,,,,MC4R,,,,
PTH2,,,,MC4R,,,,
CXCL5,,,,CCR1,,,,
CXCL12,,,,CCR1,,,,
NMU,,,,CCR1,,,,
SST,,,,CCR1,,,,
CCL20,,,,CCR1,,,,
CXCL6,,,,CCR1,,,,
CXCL9,,,,CCR1,,,,
PNOC,,,,CCR1,,,,
NMS,,,,CCR1,,,,
NPW,,,,CCR1,,,,
NPB,,,,CCR1,,,,
RLN3,,,,CCR1,,,,
CXCL16,,,,CCR1,,,,
CCL28,,,,CCR1,,,,
HEBP1,,,,CCR1,,,,
APLN,,,,CCR1,,,,
CCL27,,,,CCR1,,,,
INSL5,,,,CCR1,,,,
CXCL5,,,,CCR7,,,,
CXCL12,,,,CCR7,,,,
NMU,,,,CCR7,,,,
SST,,,,CCR7,,,,
CCL20,,,,CCR7,,,,
CXCL6,,,,CCR7,,,,
CXCL9,,,,CCR7,,,,
PNOC,,,,CCR7,,,,
NMS,,,,CCR7,,,,
NPW,,,,CCR7,,,,
NPB,,,,CCR7,,,,
RLN3,,,,CCR7,,,,
CXCL16,,,,CCR7,,,,
CCL28,,,,CCR7,,,,
HEBP1,,,,CCR7,,,,
APLN,,,,CCR7,,,,
CCL27,,,,CCR7,,,,
CXCL5,,,,CXCR5,,,,
CXCL12,,,,CXCR5,,,,
NMU,,,,CXCR5,,,,
CCL20,,,,CXCR5,,,,
CCL19,,,,CXCR5,,,,
CXCL16,,,,CXCR5,,,,
CCL28,,,,CXCR5,,,,
HEBP1,,,,CXCR5,,,,
APLN,,,,CXCR5,,,,
CXCL5,,,,SSTR3,,,,
CXCL12,,,,SSTR3,,,,
NMU,,,,SSTR3,,,,
CCL20,,,,SSTR3,,,,
CCL19,,,,SSTR3,,,,
CXCL16,,,,SSTR3,,,,
CCL28,,,,SSTR3,,,,
HEBP1,,,,SSTR3,,,,
APLN,,,,SSTR3,,,,
ADM,,,,MC5R,,,,
EFNB1,,,,SDC2,,,,
EFNB3,,,,SDC2,,,,
ADM,,,,HTR7,,,,
NMU,,,,TRHR,,,,
PROK1,,,,TRHR,,,,
KISS1,,,,TRHR,,,,
PROK2,,,,TRHR,,,,
GHRL,,,,TRHR,,,,
ADM,,,,CRHR1,,,,
INSL3,,,,CRHR1,,,,
ADM2,,,,CRHR1,,,,
RLN3,,,,CRHR1,,,,
PTH2,,,,CRHR1,,,,
CXCL5,,,,SSTR5,,,,
CXCL12,,,,SSTR5,,,,
NMU,,,,SSTR5,,,,
CCL20,,,,SSTR5,,,,
CCL19,,,,SSTR5,,,,
CXCL16,,,,SSTR5,,,,
CCL28,,,,SSTR5,,,,
HEBP1,,,,SSTR5,,,,
APLN,,,,SSTR5,,,,
NMU,,,,HRH1,,,,
PROK1,,,,HRH1,,,,
KISS1,,,,HRH1,,,,
PROK2,,,,HRH1,,,,
GHRL,,,,HRH1,,,,
CXCL5,,,,OPRM1,,,,
CXCL12,,,,OPRM1,,,,
NMU,,,,OPRM1,,,,
SST,,,,OPRM1,,,,
CCL20,,,,OPRM1,,,,
CXCL6,,,,OPRM1,,,,
ARF1,,,,OPRM1,,,,
CXCL9,,,,OPRM1,,,,
PNOC,,,,OPRM1,,,,
NMS,,,,OPRM1,,,,
NPW,,,,OPRM1,,,,
NPB,,,,OPRM1,,,,
RLN3,,,,OPRM1,,,,
CCL19,,,,OPRM1,,,,
CXCL16,,,,OPRM1,,,,
CCL28,,,,OPRM1,,,,
HEBP1,,,,OPRM1,,,,
APLN,,,,OPRM1,,,,
CCL27,,,,OPRM1,,,,
INSL5,,,,OPRM1,,,,
CXCL5,,,,APLNR,,,,
CXCL12,,,,APLNR,,,,
NMU,,,,APLNR,,,,
SST,,,,APLNR,,,,
CCL20,,,,APLNR,,,,
CXCL6,,,,APLNR,,,,
CXCL9,,,,APLNR,,,,
PNOC,,,,APLNR,,,,
NMS,,,,APLNR,,,,
NPW,,,,APLNR,,,,
NPB,,,,APLNR,,,,
RLN3,,,,APLNR,,,,
CCL19,,,,APLNR,,,,
CXCL16,,,,APLNR,,,,
CCL28,,,,APLNR,,,,
HEBP1,,,,APLNR,,,,
CCL27,,,,APLNR,,,,
INSL5,,,,APLNR,,,,
EFNB2,,,,FLT4,,,,
EFNB1,,,,FLT4,,,,
EFNB3,,,,FLT4,,,,
LIPH,,,,FLT4,,,,
EFNA3,,,,TGFBR1,,,,
EFNA4,,,,TGFBR1,,,,
EFNA5,,,,TGFBR1,,,,
NMU,,,,AVPR1A,,,,
PROK1,,,,AVPR1A,,,,
KISS1,,,,AVPR1A,,,,
PROK2,,,,AVPR1A,,,,
GHRL,,,,AVPR1A,,,,
CXCL5,,,,OPRD1,,,,
CXCL12,,,,OPRD1,,,,
NMU,,,,OPRD1,,,,
SST,,,,OPRD1,,,,
CCL20,,,,OPRD1,,,,
CXCL6,,,,OPRD1,,,,
CXCL9,,,,OPRD1,,,,
PNOC,,,,OPRD1,,,,
NMS,,,,OPRD1,,,,
NPW,,,,OPRD1,,,,
NPB,,,,OPRD1,,,,
RLN3,,,,OPRD1,,,,
CCL19,,,,OPRD1,,,,
CXCL16,,,,OPRD1,,,,
CCL28,,,,OPRD1,,,,
HEBP1,,,,OPRD1,,,,
APLN,,,,OPRD1,,,,
CCL27,,,,OPRD1,,,,
INSL5,,,,OPRD1,,,,
CXCL5,,,,OPRK1,,,,
CXCL12,,,,OPRK1,,,,
NMU,,,,OPRK1,,,,
SST,,,,OPRK1,,,,
CCL20,,,,OPRK1,,,,
CXCL6,,,,OPRK1,,,,
CXCL9,,,,OPRK1,,,,
PNOC,,,,OPRK1,,,,
NMS,,,,OPRK1,,,,
NPW,,,,OPRK1,,,,
NPB,,,,OPRK1,,,,
RLN3,,,,OPRK1,,,,
CCL19,,,,OPRK1,,,,
CXCL16,,,,OPRK1,,,,
CCL28,,,,OPRK1,,,,
HEBP1,,,,OPRK1,,,,
APLN,,,,OPRK1,,,,
CCL27,,,,OPRK1,,,,
INSL5,,,,OPRK1,,,,
CXCL5,,,,OPRL1,,,,
CXCL12,,,,OPRL1,,,,
NMU,,,,OPRL1,,,,
CCL20,,,,OPRL1,,,,
CCL19,,,,OPRL1,,,,
CXCL16,,,,OPRL1,,,,
CCL28,,,,OPRL1,,,,
HEBP1,,,,OPRL1,,,,
APLN,,,,OPRL1,,,,
INSL3,,,,VIPR2,,,,
ADM2,,,,VIPR2,,,,
RLN3,,,,VIPR2,,,,
PTH2,,,,VIPR2,,,,
NMU,,,,HTR2B,,,,
PROK1,,,,HTR2B,,,,
KISS1,,,,HTR2B,,,,
PROK2,,,,HTR2B,,,,
GHRL,,,,HTR2B,,,,
CXCL5,,,,CCR2,,,,
CXCL12,,,,CCR2,,,,
NMU,,,,CCR2,,,,
SST,,,,CCR2,,,,
CCL20,,,,CCR2,,,,
CXCL6,,,,CCR2,,,,
CXCL9,,,,CCR2,,,,
PNOC,,,,CCR2,,,,
NMS,,,,CCR2,,,,
NPW,,,,CCR2,,,,
NPB,,,,CCR2,,,,
RLN3,,,,CCR2,,,,
CCL19,,,,CCR2,,,,
CXCL16,,,,CCR2,,,,
CCL28,,,,CCR2,,,,
HEBP1,,,,CCR2,,,,
APLN,,,,CCR2,,,,
INSL5,,,,CCR2,,,,
INSL3,,,,MC3R,,,,
ADM2,,,,MC3R,,,,
RLN3,,,,MC3R,,,,
PTH2,,,,MC3R,,,,
INSL3,,,,GLP1R,,,,
ADM2,,,,GLP1R,,,,
RLN3,,,,GLP1R,,,,
PTH2,,,,GLP1R,,,,
CXCL12,,,,CCR10,,,,
NMU,,,,CCR10,,,,
CCL20,,,,CCR10,,,,
CXCL16,,,,CCR10,,,,
HEBP1,,,,CCR10,,,,
APLN,,,,CCR10,,,,
NMU,,,,XCR1,,,,
PROK1,,,,XCR1,,,,
KISS1,,,,XCR1,,,,
PROK2,,,,XCR1,,,,
GHRL,,,,XCR1,,,,
COPA,,,,NOTCH1,,,,
XCL1,,,,BDKRB1,,,,
CXCL12,,,,BDKRB1,,,,
NMU,,,,BDKRB1,,,,
PROK1,,,,BDKRB1,,,,
SST,,,,BDKRB1,,,,
CCL20,,,,BDKRB1,,,,
CXCL6,,,,BDKRB1,,,,
QRFP,,,,BDKRB1,,,,
CXCL9,,,,BDKRB1,,,,
PNOC,,,,BDKRB1,,,,
KISS1,,,,BDKRB1,,,,
NMS,,,,BDKRB1,,,,
UTS2B,,,,BDKRB1,,,,
NPW,,,,BDKRB1,,,,
NPB,,,,BDKRB1,,,,
RLN3,,,,BDKRB1,,,,
CCL19,,,,BDKRB1,,,,
CXCL16,,,,BDKRB1,,,,
PROK2,,,,BDKRB1,,,,
CCL28,,,,BDKRB1,,,,
HEBP1,,,,BDKRB1,,,,
XCL2,,,,BDKRB1,,,,
GHRL,,,,BDKRB1,,,,
TAC3,,,,BDKRB1,,,,
APLN,,,,BDKRB1,,,,
CCL27,,,,BDKRB1,,,,
INSL5,,,,BDKRB1,,,,
CXCL12,,,,GALR1,,,,
NMU,,,,GALR1,,,,
CCL20,,,,GALR1,,,,
CCL19,,,,GALR1,,,,
CXCL16,,,,GALR1,,,,
CCL28,,,,GALR1,,,,
HEBP1,,,,GALR1,,,,
APLN,,,,GALR1,,,,
NMU,,,,GCGR,,,,
PROK1,,,,GCGR,,,,
KISS1,,,,GCGR,,,,
PROK2,,,,GCGR,,,,
GHRL,,,,GCGR,,,,
INSL3,,,,SCTR,,,,
ADM2,,,,SCTR,,,,
RLN3,,,,SCTR,,,,
PTH2,,,,SCTR,,,,
CXCL12,,,,HTR5A,,,,
NMU,,,,HTR5A,,,,
CCL20,,,,HTR5A,,,,
CCL19,,,,HTR5A,,,,
CXCL16,,,,HTR5A,,,,
CCL28,,,,HTR5A,,,,
HEBP1,,,,HTR5A,,,,
APLN,,,,HTR5A,,,,
NMU,,,,AVPR1B,,,,
PROK1,,,,AVPR1B,,,,
KISS1,,,,AVPR1B,,,,
PROK2,,,,AVPR1B,,,,
GHRL,,,,AVPR1B,,,,
NMU,,,,NPBWR1,,,,
CCL20,,,,NPBWR1,,,,
CCL19,,,,NPBWR1,,,,
CXCL16,,,,NPBWR1,,,,
CCL28,,,,NPBWR1,,,,
HEBP1,,,,NPBWR1,,,,
APLN,,,,NPBWR1,,,,
INSL3,,,,GIPR,,,,
ADM2,,,,GIPR,,,,
RLN3,,,,GIPR,,,,
PTH2,,,,GIPR,,,,
CCL20,,,,NPY2R,,,,
CCL19,,,,NPY2R,,,,
CXCL16,,,,NPY2R,,,,
CCL28,,,,NPY2R,,,,
HEBP1,,,,NPY2R,,,,
APLN,,,,NPY2R,,,,
SST,,,,MTNR1B,,,,
CCL20,,,,MTNR1B,,,,
CXCL6,,,,MTNR1B,,,,
CXCL9,,,,MTNR1B,,,,
PNOC,,,,MTNR1B,,,,
NMS,,,,MTNR1B,,,,
NPW,,,,MTNR1B,,,,
NPB,,,,MTNR1B,,,,
RLN3,,,,MTNR1B,,,,
CCL19,,,,MTNR1B,,,,
CXCL16,,,,MTNR1B,,,,
CCL28,,,,MTNR1B,,,,
HEBP1,,,,MTNR1B,,,,
APLN,,,,MTNR1B,,,,
CCL27,,,,MTNR1B,,,,
INSL5,,,,MTNR1B,,,,
CXCL16,,,,CXCR3,,,,
CCL28,,,,CXCR3,,,,
HEBP1,,,,CXCR3,,,,
APLN,,,,CXCR3,,,,
SST,,,,AGTR2,,,,
CCL20,,,,AGTR2,,,,
CXCL6,,,,AGTR2,,,,
CXCL9,,,,AGTR2,,,,
PNOC,,,,AGTR2,,,,
NMS,,,,AGTR2,,,,
NPW,,,,AGTR2,,,,
NPB,,,,AGTR2,,,,
RLN3,,,,AGTR2,,,,
CCL19,,,,AGTR2,,,,
CXCL16,,,,AGTR2,,,,
CCL28,,,,AGTR2,,,,
HEBP1,,,,AGTR2,,,,
APLN,,,,AGTR2,,,,
CCL27,,,,AGTR2,,,,
INSL5,,,,AGTR2,,,,
CCL20,,,,NPY4R,,,,
CCL19,,,,NPY4R,,,,
CXCL16,,,,NPY4R,,,,
CCL28,,,,NPY4R,,,,
HEBP1,,,,NPY4R,,,,
APLN,,,,NPY4R,,,,
CCL20,,,,CCR3,,,,
CCL19,,,,CCR3,,,,
CXCL16,,,,CCR3,,,,
HEBP1,,,,CCR3,,,,
APLN,,,,CCR3,,,,
CCL20,,,,CCR4,,,,
CCL19,,,,CCR4,,,,
CXCL16,,,,CCR4,,,,
CCL28,,,,CCR4,,,,
HEBP1,,,,CCR4,,,,
APLN,,,,CCR4,,,,
CCL20,,,,CCR5,,,,
CCL19,,,,CCR5,,,,
CXCL16,,,,CCR5,,,,
CCL28,,,,CCR5,,,,
HEBP1,,,,CCR5,,,,
APLN,,,,CCR5,,,,
SST,,,,CCR6,,,,
CXCL6,,,,CCR6,,,,
CXCL9,,,,CCR6,,,,
PNOC,,,,CCR6,,,,
NMS,,,,CCR6,,,,
NPW,,,,CCR6,,,,
NPB,,,,CCR6,,,,
RLN3,,,,CCR6,,,,
CCL19,,,,CCR6,,,,
CCL28,,,,CCR6,,,,
HEBP1,,,,CCR6,,,,
APLN,,,,CCR6,,,,
CCL27,,,,CCR6,,,,
INSL5,,,,CCR6,,,,
CCL20,,,,CCR8,,,,
CCL19,,,,CCR8,,,,
CXCL16,,,,CCR8,,,,
CCL28,,,,CCR8,,,,
HEBP1,,,,CCR8,,,,
APLN,,,,CCR8,,,,
CCL20,,,,CCR9,,,,
CCL19,,,,CCR9,,,,
CXCL16,,,,CCR9,,,,
CCL28,,,,CCR9,,,,
HEBP1,,,,CCR9,,,,
APLN,,,,CCR9,,,,
EFNB1,,,,EPHA5,,,,
EFNB3,,,,EPHA5,,,,
PROK1,,,,F2RL1,,,,
QRFP,,,,F2RL1,,,,
KISS1,,,,F2RL1,,,,
NMS,,,,F2RL1,,,,
UTS2B,,,,F2RL1,,,,
PROK2,,,,F2RL1,,,,
XCL2,,,,F2RL1,,,,
GHRL,,,,F2RL1,,,,
TAC3,,,,F2RL1,,,,
SST,,,,CXCR4,,,,
CCL20,,,,CXCR4,,,,
CXCL6,,,,CXCR4,,,,
CXCL9,,,,CXCR4,,,,
PNOC,,,,CXCR4,,,,
NMS,,,,CXCR4,,,,
NPW,,,,CXCR4,,,,
NPB,,,,CXCR4,,,,
RLN3,,,,CXCR4,,,,
CCL19,,,,CXCR4,,,,
CXCL16,,,,CXCR4,,,,
CCL28,,,,CXCR4,,,,
HEBP1,,,,CXCR4,,,,
APLN,,,,CXCR4,,,,
CCL27,,,,CXCR4,,,,
INSL5,,,,CXCR4,,,,
EFNB3,,,,VLDLR,,,,
ADM2,,,,GHRHR,,,,
RLN3,,,,GHRHR,,,,
PTH2,,,,GHRHR,,,,
CLEC11A,,,,TRAF2,,,,
TNFSF13B,,,,TRAF2,,,,
ADM2,,,,CRHR2,,,,
RLN3,,,,CRHR2,,,,
PTH2,,,,CRHR2,,,,
TNFSF13B,,,,ITGA7,,,,
EFNB3,,,,LRP8,,,,
NMS,,,,GRM4,,,,
NPW,,,,GRM4,,,,
NPB,,,,GRM4,,,,
RLN3,,,,GRM4,,,,
CCL19,,,,GRM4,,,,
CXCL16,,,,GRM4,,,,
CCL28,,,,GRM4,,,,
HEBP1,,,,GRM4,,,,
APLN,,,,GRM4,,,,
CCL27,,,,GRM4,,,,
INSL5,,,,GRM4,,,,
EFNB3,,,,EPHA7,,,,
CCL19,,,,P2RY14,,,,
CXCL16,,,,P2RY14,,,,
CCL28,,,,P2RY14,,,,
HEBP1,,,,P2RY14,,,,
APLN,,,,P2RY14,,,,
CCL19,,,,NPY5R,,,,
CXCL16,,,,NPY5R,,,,
CCL28,,,,NPY5R,,,,
HEBP1,,,,NPY5R,,,,
APLN,,,,NPY5R,,,,
CCL19,,,,C3AR1,,,,
CXCL16,,,,C3AR1,,,,
CCL28,,,,C3AR1,,,,
HEBP1,,,,C3AR1,,,,
APLN,,,,C3AR1,,,,
RLN3,,,,CALCRL,,,,
PTH2,,,,CALCRL,,,,
UTS2B,,,,NPSR1,,,,
ADM2,,,,NPSR1,,,,
RLN3,,,,NPSR1,,,,
PTH2,,,,NPSR1,,,,
PROK2,,,,NPSR1,,,,
XCL2,,,,NPSR1,,,,
GHRL,,,,NPSR1,,,,
TAC3,,,,NPSR1,,,,
XCL2,,,,PROKR2,,,,
GHRL,,,,PROKR2,,,,
TAC3,,,,PROKR2,,,,
XCL2,,,,PROKR1,,,,
GHRL,,,,PROKR1,,,,
TAC3,,,,PROKR1,,,,
CCL19,,,,RXFP4,,,,
CXCL16,,,,RXFP4,,,,
CCL28,,,,RXFP4,,,,
HEBP1,,,,RXFP4,,,,
APLN,,,,RXFP4,,,,
CCL19,,,,LPAR1,,,,
CXCL16,,,,LPAR1,,,,
PROK2,,,,LPAR1,,,,
CCL28,,,,LPAR1,,,,
HEBP1,,,,LPAR1,,,,
XCL2,,,,LPAR1,,,,
GHRL,,,,LPAR1,,,,
TAC3,,,,LPAR1,,,,
APLN,,,,LPAR1,,,,
CCL27,,,,LPAR1,,,,
INSL5,,,,LPAR1,,,,
PROK2,,,,GHSR,,,,
XCL2,,,,GHSR,,,,
TAC3,,,,GHSR,,,,
PROK2,,,,KISS1R,,,,
XCL2,,,,KISS1R,,,,
GHRL,,,,KISS1R,,,,
TAC3,,,,KISS1R,,,,
PROK2,,,,QRFPR,,,,
GHRL,,,,QRFPR,,,,
PROK2,,,,F2RL3,,,,
GHRL,,,,F2RL3,,,,
ICAM5,,,,SORT1,,,,
PROK2,,,,LPAR4,,,,
XCL2,,,,LPAR4,,,,
GHRL,,,,LPAR4,,,,
TAC3,,,,LPAR4,,,,
CCL19,,,,MCHR1,,,,
CXCL16,,,,MCHR1,,,,
CCL28,,,,MCHR1,,,,
HEBP1,,,,MCHR1,,,,
GHRL,,,,MCHR1,,,,
APLN,,,,MCHR1,,,,
CXCL16,,,,NMUR2,,,,
PROK2,,,,NMUR2,,,,
CCL28,,,,NMUR2,,,,
HEBP1,,,,NMUR2,,,,
GHRL,,,,NMUR2,,,,
APLN,,,,NMUR2,,,,
PROK2,,,,NPFFR1,,,,
GHRL,,,,NPFFR1,,,,
CCL28,,,,HRH4,,,,
HEBP1,,,,HRH4,,,,
APLN,,,,HRH4,,,,
PROK2,,,,NMUR1,,,,
CCL28,,,,NMUR1,,,,
HEBP1,,,,NMUR1,,,,
GHRL,,,,NMUR1,,,,
APLN,,,,NMUR1,,,,
PROK2,,,,LPAR2,,,,
CCL28,,,,LPAR2,,,,
HEBP1,,,,LPAR2,,,,
XCL2,,,,LPAR2,,,,
GHRL,,,,LPAR2,,,,
TAC3,,,,LPAR2,,,,
APLN,,,,LPAR2,,,,
CCL27,,,,LPAR2,,,,
INSL5,,,,LPAR2,,,,
APLN,,,,RXFP3,,,,
INSL5,,,,HRH3,,,,
GDNF,,,,NCAM1,,,,
CCL17,,,,VCAM1,,,,
BDNF,,,,NCAM1,,,,
GSTP1,,,,VCAM1,,,,
AREG,,,,ICAM1,,,,
EFNB2,,,,CD99,,,,
JAG2,,,,CD99,,,,
ARF1,,,,VCAM1,,,,
RTN4,,,,CNTN1,,,,
CCL22,,,,VCAM1,,,,
ANGPT2,,,,ITGB1,,,,
BDNF,,,,F11R,,,,
THBS1,,,,ITGAM,,,,
CTSG,,,,VCAM1,,,,
CTSG,,,,SELPLG,,,,
PVR,,,,NECTIN1,,,,
AGRN,,,,NCAM1,,,,
PSPN,,,,NCAM1,,,,
PLG,,,,CDH1,,,,
COL1A1,,,,MAG,,,,
COL4A1,,,,NCAM1,,,,
COL4A1,,,,MAG,,,,
APOE,,,,VCAM1,,,,
ANXA1,,,,ITGA4,,,,
ANXA1,,,,VCAM1,,,,
APP,,,,NCAM1,,,,
APP,,,,MAG,,,,
APP,,,,CNTN1,,,,
LAMB1,,,,L1CAM,,,,
FGF2,,,,GLG1,,,,
GSTP1,,,,ITGA4,,,,
CD24,,,,L1CAM,,,,
LAMA1,,,,L1CAM,,,,
DLK1,,,,OCLN,,,,
IL13,,,,VCAM1,,,,
EFNB1,,,,CD99,,,,
RTN4,,,,CD99,,,,
CX3CL1,,,,ITGB1,,,,
CX3CL1,,,,ITGB2,,,,
PSEN1,,,,CDH1,,,,
COL18A1,,,,SELL,,,,
PVR,,,,CDH1,,,,
CCL5,,,,CDH1,,,,
NLGN1,,,,CNTNAP1,,,,
CSF1,,,,CLDN11,,,,
APP,,,,NFASC,,,,
RPS19,,,,ICAM1,,,,
HSP90B1,,,,ITGB1,,,,
MMP9,,,,ITGB1,,,,
VEGFB,,,,ITGB1,,,,
PSEN1,,,,ITGB1,,,,
LTB,,,,ITGB1,,,,
TNFSF13B,,,,ITGB1,,,,
IL10,,,,CD28,,,,
MMP9,,,,CDH1,,,,
ADAM15,,,,CDH1,,,,
MDK,,,,NCAM1,,,,
ARTN,,,,NCAM1,,,,
NRTN,,,,NCAM1,,,,
TNFSF9,,,,ICAM2,,,,
RPS19,,,,ITGA4,,,,
COPA,,,,ITGA4,,,,
YARS,,,,ITGA4,,,,
ARF1,,,,ITGA4,,,,
WNT3,,,,CDH2,,,,
WNT3A,,,,CDH2,,,,
RPS19,,,,VCAM1,,,,
COPA,,,,VCAM1,,,,
YARS,,,,VCAM1,,,,
PTPRC,,,,EPOR,,,,
PTPRC,,,,MET,,,,
PTPRC,,,,INSR,,,,
CNTN2,,,,EGFR,,,,
PTPRC,,,,LEPR,,,,
PTPRC,,,,ERBB2,,,,
PTPRC,,,,GHR,,,,
NCAM1,,,,NTRK1,,,,
CD99,,,,EPHA2,,,,
CD99,,,,INSR,,,,
CD99,,,,ROR2,,,,
CD99,,,,FZD5,,,,
CD99,,,,LRP8,,,,
CD99,,,,LRP2,,,,
CD99,,,,FZD6,,,,
CD99,,,,EPHA7,,,,
CDH1,,,,LRP6,,,,
CDH2,,,,CDON,,,,
CDH15,,,,CDON,,,,
PTPRC,,,,PDGFRB,,,,
ITGB1,,,,CSF2RB,,,,
ICAM1,,,,CSF2RB,,,,
ITGB1,,,,ITGA5,,,,
ITGB1,,,,DAG1,,,,
ITGB1,,,,IGF1R,,,,
ITGB1,,,,ITGA3,,,,
ITGB1,,,,CD36,,,,
ITGB1,,,,PLAUR,,,,
ITGB1,,,,CD47,,,,
ITGB1,,,,FLT4,,,,
ITGB1,,,,ITGAV,,,,
ITGB1,,,,ITGA6,,,,
ITGB1,,,,CD151,,,,
ITGB1,,,,ITGA2,,,,
ITGB1,,,,ITGA1,,,,
ITGB1,,,,ITGA8,,,,
ITGB1,,,,ITGA11,,,,
PECAM1,,,,SDC1,,,,
